#doc source pos typeindex type topic
#alpha : 0.11873027123228272 0.2781160813082282 0.2517967203691911 0.387741443552646 0.25087882345732204 0.22511782785297377 0.14700339824236283 0.2393987943010137 0.3211201423870255 0.21561965082051585 0.2404330663347893 0.22577034270836122 0.18462944624556113 0.15167818421114068 0.2599141522984052 0.2819620772878223 0.251778410571001 0.1927612729078475 0.2964768866463462 0.20480549415867025 0.4033162999189583 0.27148442017804214 0.19764228049002092 0.31504437777781163 0.1653672877087818 0.424311801930779 0.19542557601931798 0.1969816690705476 0.29792972129962625 0.4024706513851768 0.4199210878324921 0.15963450732459836 0.19248968845245498 0.19861304233402016 0.32292557893718316 0.5653954143025128 0.1865856948445759 0.20388455624492383 0.35215347726975105 0.22471326374109504 0.2201590960066732 0.23286848950073058 0.17134637980760778 0.20117003176297607 0.20962451661316783 0.15536332849605147 0.15599787823007505 0.2974298739028 0.4021233447341108 0.19477656281269895 0.2046550733726276 0.13469676788844828 0.14248592109302374 0.28859799468783154 0.2189887978255573 0.25561763532576853 0.2620118753217262 0.24893628013328273 0.19062309520365622 0.2321346083175355 0.20845130713028362 0.2900757474272129 0.25685001413561337 0.3712169385993629 0.2568580601286684 0.30082852773175633 0.19731702590914788 0.25676515739644634 0.23390945262229915 0.3186006944624607 0.17433029308331804 0.27288540915235054 0.3501402155990495 0.3540816685399163 0.22182849187774875 0.17431127328549367 0.2195461931772371 0.3043229011069546 0.27658533752161246 0.22188471979157767 0.2267284234881789 0.28014565713903333 0.24473399590841746 0.2351521906833161 0.21352153824868425 0.23125297242128853 0.4569075721184063 0.22724823895433424 0.28696388210772644 0.32264074616130933 0.28009089399002146 0.3465637045390313 0.18728646985446545 0.30009267638648124 0.3120785074107185 0.27437878402580346 0.3730428019146742 0.20911081033704623 0.24828951707050081 0.244349099467586 
#beta : 0.00890133890127676
0 ../../data/input/txt/1.txt 0 0 awake 55
0 ../../data/input/txt/1.txt 1 1 ye 61
0 ../../data/input/txt/1.txt 2 2 muses 95
0 ../../data/input/txt/1.txt 3 3 sing 81
0 ../../data/input/txt/1.txt 4 4 strain 90
0 ../../data/input/txt/1.txt 5 5 divine 21
0 ../../data/input/txt/1.txt 6 6 unwind 4
0 ../../data/input/txt/1.txt 7 7 solemn 27
0 ../../data/input/txt/1.txt 8 8 twine 95
0 ../../data/input/txt/1.txt 9 9 tie 30
0 ../../data/input/txt/1.txt 10 10 valentine 34
0 ../../data/input/txt/1.txt 11 11 made 77
0 ../../data/input/txt/1.txt 12 12 lovers 18
0 ../../data/input/txt/1.txt 13 13 damsel 78
0 ../../data/input/txt/1.txt 14 14 hopeless 95
0 ../../data/input/txt/1.txt 15 15 swain 67
0 ../../data/input/txt/1.txt 16 16 sighing 81
0 ../../data/input/txt/1.txt 17 17 gentle 63
0 ../../data/input/txt/1.txt 18 18 whispering 23
0 ../../data/input/txt/1.txt 19 19 unity 42
0 ../../data/input/txt/1.txt 20 11 made 77
0 ../../data/input/txt/1.txt 21 20 twain 95
0 ../../data/input/txt/1.txt 22 21 things 64
0 ../../data/input/txt/1.txt 23 22 courting 4
0 ../../data/input/txt/1.txt 24 23 sea 61
0 ../../data/input/txt/1.txt 25 24 air 8
0 ../../data/input/txt/1.txt 26 25 hath 43
0 ../../data/input/txt/1.txt 27 11 made 77
0 ../../data/input/txt/1.txt 28 26 single 77
0 ../../data/input/txt/1.txt 29 27 thee 30
0 ../../data/input/txt/1.txt 30 28 fair 34
0 ../../data/input/txt/1.txt 31 29 bride 78
0 ../../data/input/txt/1.txt 32 30 bridegroom 61
0 ../../data/input/txt/1.txt 33 31 adam 23
0 ../../data/input/txt/1.txt 34 32 consort 99
